,Workout start time,Workout end time,Duration (min),Activity Strain,Workout Max HR (bpm),Workout Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,Altitude gain (feet),Altitude change (feet),Distance (miles),Activity name_Inline Skating,Activity name_Manual Labor,Activity name_Motocross,Activity name_Obstacle Course Racing,Activity name_Wheelchair Pushing,Resting heart rate (bpm),Heart rate variability (ms),Blood oxygen %,Day Strain,Physiology Max HR (bpm),Physiology Average HR (bpm),Respiratory rate (rpm),Skin temp (fahrenheit),HR Zone Sum
0,2024-06-01 20:35:16,2024-06-01 23:06:02,150,11.9,145,110,29,40,24,0,0,1486,-1,11,True,False,False,False,False,58,40,95,13,153,72,16.3,89,93
2,2024-05-31 20:48:23,2024-05-31 23:49:24,181,11.6,152,103,33,25,19,0,0,1545,-1,11,True,False,False,False,False,57,38,97,14,152,75,16.0,91,77
3,2024-05-27 12:15:04,2024-05-27 15:31:16,196,4.3,126,78,21,1,0,0,0,8186,-1,125,False,False,True,False,False,56,38,96,5,138,65,16.7,89,22
4,2024-05-25 20:30:10,2024-05-25 22:41:52,131,13.9,151,122,9,30,59,2,0,1408,0,11,True,False,False,False,False,58,31,95,15,155,72,16.6,93,100
6,2024-05-24 20:47:52,2024-05-24 23:49:42,181,12.3,157,103,16,26,23,1,0,1447,0,11,True,False,False,False,False,53,48,94,13,172,72,17.5,91,66
7,2024-05-20 13:16:35,2024-05-20 15:16:00,119,4.3,114,82,31,1,0,0,0,8431,-7,75,False,False,True,False,False,56,49,93,7,147,68,17.2,90,32
8,2024-05-18 21:17:30,2024-05-18 22:34:46,164,11.4,155,119,15,24,51,5,0,895,0,7,True,False,False,False,False,58,37,93,15,155,75,16.8,91,95
10,2024-05-17 20:49:48,2024-05-17 23:48:04,178,13.2,159,106,23,18,31,3,0,1450,12,14,True,False,False,False,False,51,49,96,14,159,71,16.9,89,75
11,2024-05-13 14:09:43,2024-05-13 16:13:58,124,4.4,117,78,25,1,0,0,0,7471,25,72,False,False,True,False,False,53,46,94,5,129,64,16.7,90,26
12,2024-05-11 20:31:52,2024-05-11 22:48:55,137,13.4,147,118,17,34,48,0,0,1530,-8,12,True,False,False,False,False,60,29,94,15,147,77,17.9,92,99
13,2024-05-10 20:48:42,2024-05-10 23:50:57,182,13.6,158,104,12,14,28,6,0,1575,-2,12,True,False,False,False,False,55,36,95,16,158,75,15.8,90,60
14,2024-05-06 13:52:01,2024-05-06 16:20:12,148,6.6,138,82,17,7,6,0,0,8512,1,81,False,False,True,False,False,57,36,94,7,138,65,17.5,90,30
15,2024-05-04 20:41:17,2024-05-04 22:42:47,121,12.8,148,117,16,39,42,1,0,1237,-6,11,True,False,False,False,False,0,0,0,13,148,69,,32,98
16,2024-05-03 20:49:59,2024-05-03 23:18:32,148,13.2,153,114,16,43,32,2,0,1664,5,11,True,False,False,False,False,53,41,96,16,153,77,15.4,32,93
17,2024-04-29 12:17:21,2024-04-29 14:37:38,140,4.1,105,79,14,0,0,0,0,8823,-6,74,False,False,True,False,False,57,28,93,6,138,65,16.6,91,14
19,2024-04-27 20:49:53,2024-04-27 22:41:36,111,13.2,152,120,11,28,54,4,0,1297,6,11,True,False,False,False,False,61,26,90,14,152,70,16.6,90,97
21,2024-04-26 20:46:31,2024-04-26 23:55:01,188,12.3,157,103,30,34,17,0,0,2827,-3,13,True,False,False,False,False,51,42,96,13,157,74,17.3,89,81
22,2024-04-22 13:04:49,2024-04-22 16:00:49,175,4.3,107,76,17,0,0,0,0,8136,0,75,False,False,True,False,False,66,48,92,6,131,63,17.3,93,17
24,2024-04-20 20:38:48,2024-04-20 22:51:04,132,13.4,152,119,16,31,51,1,0,1340,1,11,True,False,False,False,False,61,27,95,14,152,73,17.5,93,99
26,2024-04-19 20:48:01,2024-04-19 23:47:40,179,11.4,146,99,15,25,19,0,0,1536,10,11,True,False,False,False,False,54,37,93,13,147,71,17.5,90,59
27,2024-04-16 12:34:20,2024-04-16 14:53:00,138,4.2,105,76,13,0,0,0,0,7760,-7,74,False,False,True,False,False,55,37,91,5,121,66,15.6,92,13
28,2024-04-13 20:51:50,2024-04-13 22:45:06,113,13.7,157,124,6,33,49,10,0,1325,-5,11,True,False,False,False,False,64,34,94,15,157,75,16.9,93,98
30,2024-04-12 20:49:10,2024-04-12 23:42:13,173,13.1,154,105,14,18,29,4,0,2087,5,11,True,False,False,False,False,56,28,93,15,163,76,17.7,92,65
31,2024-04-06 20:39:52,2024-04-06 23:15:02,155,11.5,148,107,21,37,23,0,0,1908,-6,11,True,False,False,False,False,63,30,95,14,159,73,15.6,93,81
34,2024-04-05 20:46:56,2024-04-05 23:48:18,181,12.9,152,111,27,39,27,1,0,2174,5,12,True,False,False,False,False,0,0,0,15,175,82,,32,94
35,2024-03-30 21:05:56,2024-03-30 23:18:55,132,11.6,147,113,27,42,29,0,0,1460,5,11,True,False,False,False,False,57,38,92,13,147,76,17.5,89,98
36,2024-03-29 20:35:55,2024-03-29 22:47:44,131,8.0,144,101,41,43,3,0,0,1930,-5,11,True,False,False,False,False,61,30,97,11,144,71,16.6,93,87
38,2024-03-25 15:15:58,2024-03-25 17:30:23,134,3.9,110,78,13,0,0,0,0,8030,-3,76,False,False,True,False,False,55,43,93,4,127,65,16.3,88,13
39,2024-03-23 20:35:32,2024-03-23 23:24:31,168,14.5,150,121,11,38,48,3,0,1892,4,12,True,False,False,False,False,56,36,95,16,150,81,16.6,91,100
40,2024-03-22 20:36:24,2024-03-22 23:04:12,147,13.0,164,109,22,29,16,12,0,2306,0,12,True,False,False,False,False,61,30,93,14,164,74,16.2,90,79
42,2024-03-19 15:12:00,2024-03-20 15:12:00,176,7.4,149,68,10,1,0,0,0,12929,5,96,False,False,True,False,False,56,40,95,8,149,66,15.9,91,11
44,2024-03-16 20:32:44,2024-03-16 23:21:46,169,11.1,151,105,23,42,15,0,0,1857,0,10,True,False,False,False,False,73,43,93,12,151,79,18.3,91,80
46,2024-03-15 20:48:53,2024-03-15 23:50:24,181,11.8,149,103,17,22,27,0,0,2303,6,12,True,False,False,False,False,60,31,94,13,149,72,16.6,91,66
48,2024-03-14 14:24:03,2024-03-14 17:24:03,179,4.3,114,80,17,1,0,0,0,9589,-3,77,False,False,True,False,False,59,29,95,8,157,71,16.3,91,18
